Municipality,Municipality ID,Tourism,Coastal,Historic,Metro,Island
Sabana Grande,MUN_SABANA_GRANDE,FALSE,FALSE,FALSE,FALSE,FALSE
Salinas,MUN_SALINAS,FALSE,TRUE,FALSE,FALSE,FALSE
San Germán,MUN_SAN_GERMAN,FALSE,FALSE,TRUE,FALSE,FALSE
San Juan,MUN_SAN_JUAN,TRUE,TRUE,TRUE,TRUE,FALSE
San Lorenzo,MUN_SAN_LORENZO,FALSE,FALSE,FALSE,FALSE,FALSE
San Sebastián,MUN_SAN_SEBASTIAN,FALSE,FALSE,FALSE,FALSE,FALSE
Santa Isabel,MUN_SANTA_ISABEL,FALSE,TRUE,FALSE,FALSE,FALSE
Toa Alta,MUN_TOA_ALTA,FALSE,FALSE,FALSE,FALSE,FALSE
Toa Baja,MUN_TOA_BAJA,FALSE,TRUE,FALSE,FALSE,FALSE
Trujillo Alto,MUN_TRUJILLO_ALTO,FALSE,FALSE,FALSE,FALSE,FALSE
Utuado,MUN_UTUADO,FALSE,FALSE,FALSE,FALSE,FALSE
Vega Alta,MUN_VEGA_ALTA,FALSE,TRUE,FALSE,FALSE,FALSE
Vega Baja,MUN_VEGA_BAJA,FALSE,TRUE,FALSE,FALSE,FALSE
Vieques,MUN_VIEQUES,TRUE,TRUE,FALSE,FALSE,TRUE
Villalba,MUN_VILLALBA,FALSE,FALSE,FALSE,FALSE,FALSE
Yabucoa,MUN_YABUCOA,FALSE,TRUE,FALSE,FALSE,FALSE
Yauco,MUN_YAUCO,FALSE,TRUE,FALSE,FALSE,FALSE
